# wavelength(um) transit_depth error
4.87054470e+01 3.36614974e-04 1.00000000e-05
4.87022002e+01 3.15533957e-04 1.00000000e-05
4.86989536e+01 3.01464307e-04 1.00000000e-05
4.86957072e+01 3.32069333e-04 1.00000000e-05
4.86924611e+01 3.16833584e-04 1.00000000e-05
4.86892151e+01 3.31143461e-04 1.00000000e-05
4.86859694e+01 3.06704389e-04 1.00000000e-05
4.86827239e+01 3.14904967e-04 1.00000000e-05
4.86794786e+01 3.23308214e-04 1.00000000e-05
4.86762335e+01 3.24004784e-04 1.00000000e-05
4.86729886e+01 3.56675367e-04 1.00000000e-05
4.86697440e+01 3.30883612e-04 1.00000000e-05
4.86664995e+01 3.12203787e-04 1.00000000e-05
4.86632553e+01 3.22699255e-04 1.00000000e-05
4.86600113e+01 3.20860431e-04 1.00000000e-05
4.86567675e+01 3.27143823e-04 1.00000000e-05
4.86535240e+01 3.25767865e-04 1.00000000e-05
4.86502806e+01 3.08803407e-04 1.00000000e-05
4.86470375e+01 3.08574776e-04 1.00000000e-05
4.86437946e+01 3.55862457e-04 1.00000000e-05
4.86405519e+01 3.32525242e-04 1.00000000e-05
4.86373094e+01 3.28642777e-04 1.00000000e-05
4.86340671e+01 3.45729333e-04 1.00000000e-05
4.86308250e+01 3.25580528e-04 1.00000000e-05
4.86275832e+01 3.34505045e-04 1.00000000e-05
4.86243416e+01 3.22815498e-04 1.00000000e-05
4.86211002e+01 3.53829951e-04 1.00000000e-05
4.86178590e+01 3.60155357e-04 1.00000000e-05
4.86146180e+01 3.38613913e-04 1.00000000e-05
4.86113772e+01 3.40467557e-04 1.00000000e-05
4.86081367e+01 3.40623065e-04 1.00000000e-05
4.86048964e+01 3.52285884e-04 1.00000000e-05
4.86016563e+01 3.14629019e-04 1.00000000e-05
4.85984164e+01 3.31444583e-04 1.00000000e-05
4.85951767e+01 3.46240927e-04 1.00000000e-05
4.85919372e+01 3.29508265e-04 1.00000000e-05
4.85886980e+01 3.13773088e-04 1.00000000e-05
4.85854590e+01 3.24063367e-04 1.00000000e-05
4.85822201e+01 3.42241373e-04 1.00000000e-05
4.85789815e+01 3.29938400e-04 1.00000000e-05
4.85757432e+01 3.37508314e-04 1.00000000e-05
4.85725050e+01 3.55799173e-04 1.00000000e-05
4.85692670e+01 3.39229751e-04 1.00000000e-05
4.85660293e+01 3.15523838e-04 1.00000000e-05
4.85627918e+01 3.03855295e-04 1.00000000e-05
4.85595545e+01 3.22143555e-04 1.00000000e-05
4.85563174e+01 3.24145876e-04 1.00000000e-05
4.85530805e+01 3.31161558e-04 1.00000000e-05
4.85498439e+01 3.17061941e-04 1.00000000e-05
4.85466074e+01 3.28256937e-04 1.00000000e-05
4.85433712e+01 3.26085844e-04 1.00000000e-05
4.85401352e+01 3.30652631e-04 1.00000000e-05
4.85368994e+01 3.29772062e-04 1.00000000e-05
4.85336638e+01 3.21572320e-04 1.00000000e-05
4.85304285e+01 3.17409429e-04 1.00000000e-05
4.85271933e+01 3.07847877e-04 1.00000000e-05
4.85239584e+01 3.34310292e-04 1.00000000e-05
4.85207237e+01 3.45475501e-04 1.00000000e-05
4.85174892e+01 3.26015393e-04 1.00000000e-05
4.85142549e+01 3.33299513e-04 1.00000000e-05
4.85110208e+01 3.14759592e-04 1.00000000e-05
4.85077870e+01 3.15107092e-04 1.00000000e-05
